d,n_pow,scew,sigma_total,trans_err,normal_err,c_trans,c_normal
100.0,5.0,0.1,100.0,69218.75000000001,71000.0,1.73046875,177.5
100.0,5.0,0.1,500.0,1730468.75,1769600.0,1.73046875,4424.0
100.0,5.0,1.0,1.0,18.749999999999982,250.0,4.6875,0.625
100.0,5.0,1.0,10.0,1874.9999999999984,29800.0,4.6875,74.5
100.0,5.0,1.0,100.0,187500.0,3020800.0,4.6875,7552.0
100.0,5.0,1.0,500.0,4687499.999999998,73728000.0,4.6875,184320.0
100.0,5.0,10.0,1.0,77.68749999999994,7768.75,19.421875,19.421875
100.0,5.0,10.0,10.0,7768.750000000001,778287.5,19.421875,1945.71875
100.0,5.0,10.0,100.0,776875.0000000005,77801912.5,19.421875,194504.78125
100.0,5.0,10.0,500.0,19421874.99999999,1944773787.5,19.421875,4861934.46875
100.0,6.0,0.01,1.0,7.296874999999999,7.2998046875,1.82421875,0.01824951171875
100.0,6.0,0.01,10.0,729.6875000000006,729.6875,1.82421875,1.82421875
100.0,6.0,0.01,100.0,72968.75000000001,73200.0,1.82421875,183.0
100.0,6.0,0.01,500.0,1824218.750000001,1820800.0,1.82421875,4552.0
100.0,6.0,0.1,1.0,7.343750000000002,7.568359375,1.8359375,0.0189208984375
100.0,6.0,0.1,10.0,734.3749999999999,751.5625,1.8359375,1.87890625
100.0,6.0,0.1,100.0,73437.50000000001,76000.0,1.8359375,190.0
100.0,6.0,0.1,500.0,1835937.5,1875200.0,1.8359375,4688.0
100.0,6.0,1.0,1.0,22.999999999999982,365.625,5.75,0.9140625
100.0,6.0,1.0,10.0,2299.999999999998,36000.0,5.75,90.0
100.0,6.0,1.0,100.0,230000.0,3481600.0,5.75,8704.0
100.0,6.0,1.0,500.0,5749999.999999997,98304000.0,5.75,245760.0
100.0,6.0,10.0,1.0,95.15624999999991,9515.625,23.7890625,23.7890625
100.0,6.0,10.0,10.0,9515.625000000002,939937.5,23.7890625,2349.84375
100.0,6.0,10.0,100.0,951562.5000000003,93915562.5,23.7890625,234788.90625
100.0,6.0,10.0,500.0,23789062.499999985,2347763062.5,23.7890625,5869407.65625
250.0,1.0,0.01,1.0,4.4843749999999964,4.486083984375,1.12109375,0.004486083984375
250.0,1.0,0.01,10.0,448.4374999999999,447.265625,1.12109375,0.447265625
250.0,1.0,0.01,100.0,44843.74999999996,44875.0,1.12109375,44.875
250.0,1.0,0.01,500.0,1121093.749999999,1104000.0,1.12109375,1104.0
250.0,1.0,0.1,1.0,4.249999999999999,4.547119140625,1.0625,0.004547119140625
250.0,1.0,0.1,10.0,424.9999999999997,458.984375,1.0625,0.458984375
250.0,1.0,0.1,100.0,42499.99999999997,45000.0,1.0625,45.0
250.0,1.0,0.1,500.0,1062499.9999999998,1140000.0,1.0625,1140.0
250.0,1.0,1.0,1.0,5.625000000000004,109.375,1.40625,0.109375
250.0,1.0,1.0,10.0,562.5000000000001,9000.0,1.40625,9.0
250.0,1.0,1.0,100.0,56250.00000000002,992000.0,1.40625,992.0
250.0,1.0,1.0,500.0,1406250.0000000007,20480000.0,1.40625,20480.0
250.0,1.0,10.0,1.0,9.999999999999991,2500.0,2.5,2.5
250.0,1.0,10.0,10.0,1000.0,272000.0,2.5,272.0
250.0,1.0,10.0,100.0,100000.00000000006,26624000.0,2.5,26624.0
250.0,1.0,10.0,500.0,2499999.9999999986,688128000.0,2.5,688128.0
250.0,2.0,0.01,1.0,4.937499999999996,4.39453125,1.234375,0.00439453125
250.0,2.0,0.01,10.0,493.7499999999999,486.328125,1.234375,0.486328125
250.0,2.0,0.01,100.0,49374.99999999996,48875.0,1.234375,48.875
250.0,2.0,0.01,500.0,1234374.999999999,1220000.0,1.234375,1220.0
250.0,2.0,0.1,1.0,4.937499999999999,4.9591064453125,1.234375,0.0049591064453125
250.0,2.0,0.1,10.0,493.74999999999966,498.046875,1.234375,0.498046875
250.0,2.0,0.1,100.0,49374.99999999996,49750.0,1.234375,49.75
250.0,2.0,0.1,500.0,1234374.9999999998,1244000.0,1.234375,1244.0
250.0,2.0,1.0,1.0,8.125000000000005,195.3125,2.03125,0.1953125
250.0,2.0,1.0,10.0,812.5000000000002,22000.0,2.03125,22.0
250.0,2.0,1.0,100.0,81250.00000000003,2016000.0,2.03125,2016.0
250.0,2.0,1.0,500.0,2031250.000000001,57344000.0,2.03125,57344.0
250.0,2.0,10.0,1.0,27.49999999999998,6875.0,6.875,6.875
250.0,2.0,10.0,10.0,2750.0000000000005,688000.0,6.875,688.0
250.0,2.0,10.0,100.0,275000.0000000002,68608000.0,6.875,68608.0
250.0,2.0,10.0,500.0,6874999.999999996,1638400000.0,6.875,1638400.0
250.0,3.0,0.01,1.0,5.210937499999996,5.21087646484375,1.302734375,0.0052108764648437
250.0,3.0,0.01,10.0,521.0937499999999,521.484375,1.302734375,0.521484375
250.0,3.0,0.01,100.0,52109.37499999995,54000.0,1.302734375,54.0
250.0,3.0,0.01,500.0,1302734.3749999988,1300000.0,1.302734375,1300.0
250.0,3.0,0.1,1.0,5.203124999999999,5.279541015625,1.30078125,0.005279541015625
250.0,3.0,0.1,10.0,520.3124999999997,515.625,1.30078125,0.515625
250.0,3.0,0.1,100.0,52031.24999999996,52500.0,1.30078125,52.5
250.0,3.0,0.1,500.0,1300781.2499999998,1320000.0,1.30078125,1320.0
250.0,3.0,1.0,1.0,10.875000000000009,281.25,2.71875,0.28125
250.0,3.0,1.0,10.0,1087.5000000000002,30500.0,2.71875,30.5
250.0,3.0,1.0,100.0,108750.00000000004,3584000.0,2.71875,3584.0
250.0,3.0,1.0,500.0,2718750.0000000014,75776000.0,2.71875,75776.0
250.0,3.0,10.0,1.0,41.999999999999964,10500.0,10.5,10.5
250.0,3.0,10.0,10.0,4200.000000000001,1120000.0,10.5,1120.0
250.0,3.0,10.0,100.0,420000.0000000002,106656000.0,10.5,106656.0
250.0,3.0,10.0,500.0,10499999.999999994,2761616000.0,10.5,2761616.0
250.0,4.0,0.01,1.0,5.484374999999996,5.4779052734375,1.37109375,0.0054779052734375
250.0,4.0,0.01,10.0,548.4374999999999,554.6875,1.37109375,0.5546875
250.0,4.0,0.01,100.0,54843.74999999995,54625.0,1.37109375,54.625
250.0,4.0,0.01,500.0,1371093.7499999988,1372000.0,1.37109375,1372.0
250.0,4.0,0.1,1.0,5.476562499999999,5.5999755859375,1.369140625,0.0055999755859375
250.0,4.0,0.1,10.0,547.6562499999997,560.546875,1.369140625,0.560546875
250.0,4.0,0.1,100.0,54765.62499999996,52000.0,1.369140625,52.0
250.0,4.0,0.1,500.0,1369140.6249999998,1396000.0,1.369140625,1396.0
250.0,4.0,1.0,1.0,13.750000000000009,425.78125,3.4375,0.42578125
250.0,4.0,1.0,10.0,1375.0000000000005,42500.0,3.4375,42.5
250.0,4.0,1.0,100.0,137500.00000000006,4288000.0,3.4375,4288.0
250.0,4.0,1.0,500.0,3437500.0000000014,110592000.0,3.4375,110592.0
250.0,4.0,10.0,1.0,61.99999999999995,15500.0,15.5,15.5
250.0,4.0,10.0,10.0,6200.000000000001,1518750.0,15.5,1518.75
250.0,4.0,10.0,100.0,620000.0000000003,154459500.0,15.5,154459.5
250.0,4.0,10.0,500.0,15499999.99999999,3860629500.0,15.5,3860629.5
250.0,5.0,0.01,1.0,5.703124999999995,5.7220458984375,1.42578125,0.0057220458984375
250.0,5.0,0.01,10.0,570.3124999999999,571.2890625,1.42578125,0.5712890625
250.0,5.0,0.01,100.0,57031.24999999995,57187.5,1.42578125,57.1875
250.0,5.0,0.01,500.0,1425781.2499999988,1430000.0,1.42578125,1430.0
250.0,5.0,0.1,1.0,5.734374999999999,4.8828125,1.43359375,0.0048828125
250.0,5.0,0.1,10.0,573.4374999999995,582.03125,1.43359375,0.58203125
250.0,5.0,0.1,100.0,57343.74999999996,58250.0,1.43359375,58.25
250.0,5.0,0.1,500.0,1433593.7499999998,1460000.0,1.43359375,1460.0
250.0,5.0,1.0,1.0,16.25000000000001,539.0625,4.0625,0.5390625
250.0,5.0,1.0,10.0,1625.0000000000005,55000.0,4.0625,55.0
250.0,5.0,1.0,100.0,162500.00000000006,5504000.0,4.0625,5504.0
250.0,5.0,1.0,500.0,4062500.000000002,137216000.0,4.0625,137216.0
250.0,5.0,10.0,1.0,77.68749999999994,19421.875,19.421875,19.421875
250.0,5.0,10.0,10.0,7768.750000000001,1945718.75,19.421875,1945.71875
250.0,5.0,10.0,100.0,776875.0000000005,194504781.25,19.421875,194504.78125
250.0,5.0,10.0,500.0,19421874.99999999,4861934468.75,19.421875,4861934.46875
250.0,6.0,0.01,1.0,5.968749999999995,5.94329833984375,1.4921875,0.0059432983398437
